종목코드,구성종목명,주식수(계약수),평가금액,시가총액,시가총액 구성비중,ETF명
010950,S-Oil,92.00,10092400,10074000,1.08,SOL_CLIMATE
259960,크래프톤,40.00,10180000,10000000,1.07,SOL_CLIMATE
012330,현대모비스,25.00,10212500,9862500,1.06,SOL_CLIMATE
035720,카카오,199.00,9711200,9353000,1.00,SOL_CLIMATE
000810,삼성화재,21.00,9303000,9324000,1.00,SOL_CLIMATE
010140,삼성중공업,375.00,9750000,9168750,0.98,SOL_CLIMATE
018260,삼성에스디에스,59.00,9221700,8991600,0.96,SOL_CLIMATE
009540,HD한국조선해양,26.00,9542000,8983000,0.96,SOL_CLIMATE
011070,LG이노텍,29.00,9294500,8975500,0.96,SOL_CLIMATE
034220,LG디스플레이,805.00,9257500,8943550,0.96,SOL_CLIMATE
000100,유한양행,90.00,9036000,8802000,0.94,SOL_CLIMATE
