NO,기업명,기업코드,ESG등급,환경,사회,지배구조,평가년도,ESG 등급조정,환경 등급조정,사회 등급조정,지배구조 등급조정,ESG점수,E점수,S점수,G점수
924,SOOP,067160,C,B+,B+,C,2025,통합 등급조정(2025.11.),,,지배구조 등급조정(2025.11.),4,7,7,4
709,멀티캠퍼스,067280,B+,B+,A,B+,2025,,,,,7,7,8,7
158,하나마이크론,067310,C,B+,A,D,2025,,,,,4,7,8,2
1032,HLB생명과학,067630,C,D,C,C,2025,,,,,4,2,4,4
565,세이브존I&C,067830,D,D,C,D,2025,,,,,2,2,4,2
828,다원시스,068240,D,C,C,D,2025,,,,,2,4,4,2
562,셀트리온,068270,A,A,A+,B+,2025,,,,,8,8,9,7
629,삼성출판사,068290,C,D,C,B,2025,,,,,4,2,4,6
561,셀트리온제약,068760,C,B,B+,C,2025,,,,,4,6,7,4
393,웹젠,069080,C,D,D,B,2025,,,,,4,2,2,6
193,티케이지휴켐스,069260,B+,B,A,B,2025,,,,,7,6,8,6
788,대호에이엘,069460,D,C,D,D,2025,,,,,2,4,2,2
807,대웅제약,069620,A,A,A+,B+,2025,,,,,8,8,9,7
100,한세엠케이,069640,B+,B+,B+,B+,2025,,,,,7,7,7,7
1061,DSR제강,069730,D,D,D,D,2025,,,,,2,2,2,2
49,현대백화점,069960,A+,A+,A+,A,2025,,,,,9,9,9,8
96,한솔인티큐브,070590,B+,C,B+,A,2025,,,,,7,4,7,8
693,모나용평,070960,D,C,D,D,2025,,,,,2,4,2,2
141,한국금융지주,071050,B,B,B+,B,2025,,,,,6,6,7,6
146,하이스틸,071090,D,C,C,D,2025,,,,,2,4,4,2
291,지역난방공사,071320,A,A,A+,A,2025,,,,,8,8,9,8
716,롯데하이마트,071840,A,A,A+,A,2025,,,,,8,8,9,8
237,코아스,071950,C,C,C,C,2025,,,,,4,4,4,4
1043,HD현대마린엔진,071970,B,B,B+,B,2025,,,,,6,6,7,6
379,유엔젤,072130,D,D,D,D,2025,,,,,2,2,2,2
837,농심홀딩스,072710,C,B+,A,C,2025,,,,,4,7,8,4
867,금호타이어,073240,A,A,A,B+,2025,,,,,8,8,8,7
400,원익QnC,074600,C,B+,A,D,2025,,,,,4,7,8,2
358,이엔플러스,074610,D,C,D,D,2025,,,,,2,4,2,2
598,새론오토모티브,075180,D,C,D,D,2025,,,,,2,4,2,2
564,세진중공업,075580,D,D,D,C,2025,,,,,2,2,2,4
383,유니퀘스트,077500,D,D,D,D,2025,,,,,2,2,2,2
920,STX엔진,077970,C,C,B,D,2025,,,,,4,4,6,2
204,텔코웨어,078000,D,D,D,C,2025,,,,,2,2,2,4
976,LS증권,078020,C,D,C,B,2025,,,,,4,2,4,6
878,국일제지,078130,D,C,D,D,2025,,,,,2,4,2,2
269,컴투스,078340,A,A,A+,B+,2025,,,,,8,8,9,7
461,에이블씨엔씨,078520,B,B+,A,C,2025,,,,,6,7,8,4
801,대주전자재료,078600,B+,B+,A,B,2025,,,,,7,7,8,6
1054,GS,078930,A,B+,A+,B+,2025,,,,,8,7,9,7
1081,CJ CGV,079160,B+,A+,A+,B,2025,통합 등급조정(2025.11.),,,지배구조 등급조정(2025.11.),7,9,9,6
53,현대리바트,079430,A,B+,A,A,2025,,,,,8,7,8,8
982,LIG넥스원,079550,A,A,A+,A,2025,,,,,8,8,9,8
7,휴비스,079980,B+,B+,A,B+,2025,,,,,7,7,8,7
312,제주반도체,080220,D,C,D,D,2025,,,,,2,4,2,2
332,일진다이아,081000,D,D,C,C,2025,,,,,2,2,4,4
678,미스토홀딩스,081660,B+,B+,A,B+,2025,,,,,7,7,8,7
309,젬백스,082270,D,D,C,D,2025,,,,,2,2,4,2
762,동양생명,082640,B+,A,B+,B+,2025,,,,,7,8,7,7
63,한화엔진,082740,B+,B+,A,B+,2025,,,,,7,7,8,7
876,그린케미칼,083420,D,C,C,D,2025,,,,,2,4,4,2
795,대한제강,084010,D,C,C,D,2025,,,,,2,4,4,2
375,유진테크,084370,D,D,C,D,2025,,,,,2,2,4,2
763,동양고속,084670,C,C,D,C,2025,,,,,4,4,2,4
354,이월드,084680,D,D,C,D,2025,,,,,2,2,4,2
817,대상홀딩스,084690,B,A,A+,C,2025,,,,,6,8,9,4
488,아이티엠반도체,084850,B+,B+,A,B,2025,,,,,7,7,8,6
201,티비에이치글로벌,084870,D,D,C,C,2025,,,,,2,2,4,4
443,엔케이,085310,D,D,C,D,2025,,,,,2,2,4,2
681,미래에셋생명,085620,B+,B+,B+,B+,2025,,,,,7,7,7,7
282,차바이오텍,085660,D,D,C,D,2025,,,,,2,2,4,2
55,현대글로비스,086280,A,A,A+,A,2025,,,,,8,8,9,8
776,동국제약,086450,B+,B+,A,B,2025,,,,,7,7,8,6
452,에코프로,086520,C,B,A,C,2025,,,,,4,6,8,4
159,하나금융지주,086790,A+,A,A,A+,2025,,,,,9,8,8,9
707,메디톡스,086900,C,B+,B,D,2025,,,,지배구조 등급조정(2025.11.),4,7,6,2
179,펩트론,087010,D,D,D,D,2025,,,,,2,2,2,2
68,한화생명,088350,A,A+,A,B+,2025,,,,,8,9,8,7
290,진도,088790,D,D,D,D,2025,,,,,2,2,2,2
205,테크윙,089030,D,C,C,D,2025,,,,,2,4,4,2
1048,HDC현대EP,089470,B+,B+,B+,B,2025,,,,,7,7,7,6
